State,Effective Date
Alabama,4-Apr-20
Alaska,28-Mar-20
Arizona,31-Mar-20
California,30-Mar-20
Colorado,19-Mar-20
Connecticut,23-Mar-20
Delaware,24-Mar-20
District of Columbia,1-Apr-20
Florida,3-Apr-20
Georgia ,1-Apr-20
Hawaii,25-Mar-20
Idaho,25-Mar-20
Illinois,21-Mar-20
Indiana,24-Mar-20
Kansas,30-Mar-20
Kentucky,26-Mar-20
Louisiana,23-Mar-20
Maine,2-Apr-20
Maryland,30-Mar-20
Massachusetts,24-Mar-20
Michigan,24-Mar-20
Minnesota,27-Mar-20
Mississippi,3-Apr-20
Missouri1,6-Apr-20
Montana,28-Mar-20
Nevada,1-Apr-20
New Hampshire,27-Mar-20
New Jersey,21-Mar-20
New Mexico,23-Mar-20
New York,22-Mar-20
North Carolina,30-Mar-20
Ohio,23-Mar-20
Oklahoma ,24-Mar-20
Oregon,23-Mar-20
Pennsylvania,1-Apr-10
Puerto Rico,15-Mar-20
Rhode Island,28-Mar-20
South Carolina,7-Apr-20
Tennessee,31-Mar-20
Texas,2-Apr-20
Vermont,25-Mar-20
Virginia,30-Mar-20
Washington ,23-Mar-20
West Virginia,24-Mar-20
Wisconsin,25-Mar-20
